Site,lat,long
85,40.61233,-96.758654
285,40.612325,-96.758649
9,40.61233,-96.758662
209,40.612337,-96.758648
73,40.612349,-96.758623
273,40.612348,-96.758616
87,40.612353,-96.758614
191,40.612353,-96.75859
190,40.612356,-96.758583
390,40.612345,-96.758595
185,40.612346,-96.758582
129,40.61236,-96.758582
329,40.612362,-96.758576
529,40.61236,-96.758563
130,40.612378,-96.758582
154,40.612388,-96.75858
72,40.612393,-96.75858
145,40.612405,-96.758562
109,40.612415,-96.758502
120,40.612459,-96.758493
157,40.612482,-96.758502
357,40.612475,-96.758504
158,40.612505,-96.758499
358,40.612513,-96.758489
159,40.612538,-96.758495
160,40.61256,-96.758482
360,40.612541,-96.758504
184,40.612565,-96.758484
68,40.612559,-96.758505
67,40.612551,-96.758512
192a,40.612542,-96.758525
121,40.612468,-96.758579
321,40.612467,-96.758567
106,40.612498,-96.758586
44,40.612488,-96.758582
244,40.61248,-96.758589
444,40.612475,-96.7586
146,40.61244,-96.758581
147,40.612415,-96.758585
149,40.612418,-96.758612
150,40.612425,-96.758612
151,40.612424,-96.758604
148,40.612423,-96.758603
42,40.612431,-96.758602
142,40.612428,-96.758602
342,40.61241,-96.758637
180,40.612429,-96.758606
152,40.612437,-96.758611
352,40.612432,-96.758627
162,40.612479,-96.75863
153,40.61247,-96.758645
122,40.612467,-96.758642
322,40.61246,-96.758634
189,40.61245,-96.75864
105,40.61244,-96.758628
170,40.612432,-96.758664
171,40.612438,-96.758667
371,40.612435,-96.758706
181a,40.612435,-96.758662
381,40.612433,-96.75866
104,40.612433,-96.758651
91,40.612432,-96.758653
135,40.612425,-96.75865
59,40.612423,-96.758648
83,40.612415,-96.75863
383,40.612395,-96.758682
163,40.612402,-96.758665
23,40.612397,-96.758666
114,40.61239,-96.75866
183,40.612393,-96.758672
188,40.612374,-96.758673
11,40.612375,-96.758658
97,40.612362,-96.758657
96,40.612357,-96.758657
123,40.612356,-96.758652
81,40.612319,-96.758675
126,40.612363,-96.758736
326,40.612362,-96.75874
526,40.612377,-96.758722
80,40.612398,-96.75878
164,40.612417,-96.758801
134,40.612431,-96.758822
139,40.612429,-96.758823
195,40.612437,-96.75881
165,40.612447,-96.758816
186,40.612455,-96.758812
386,40.612475,-96.758807
166,40.612471,-96.758795
366,40.612479,-96.758795
192b,40.612484,-96.758796
392,40.61248,-96.758789
592,40.612489,-96.758784
196,40.612514,-96.758767
168,40.612493,-96.758758
167,40.61249,-96.758754
35,40.612467,-96.758747
136,40.612466,-96.758747
197,40.612459,-96.758743
128,40.612437,-96.758741
32,40.61244,-96.758739
155,40.612435,-96.758737
31,40.612442,-96.758723
39,40.612479,-96.758703
27,40.612441,-96.758704
227,40.612454,-96.758718
137,40.612443,-96.758702
337,40.612433,-96.758706
173,40.612425,-96.758697
373,40.612426,-96.758691
573,40.612398,-96.758682
141,40.612413,-96.758707
60,40.612411,-96.758712
187,40.612407,-96.758719
133,40.6124,-96.758725
333,40.612395,-96.758719
533,40.612395,-96.75871
181b,40.612375,-96.758715